country,AVERAGE,AVERAGE,AVERAGE,AVERAGE
subregion (EuroVoc),Central and Eastern,Northern,Southern,Western
1970,7.129,8.18125,6.57,7.706666667
1971,7.2705,8.33375,6.705833333,7.851666667
1972,7.411,8.483125,6.839166667,7.998888889
1973,7.55325,8.635,6.975833333,8.147222222
1974,7.6965,8.788125,7.115,8.296666667
1975,7.8385,8.94125,7.253333333,8.444444444
1976,7.983,9.094375,7.3925,8.596111111
1977,8.12675,9.24875,7.533333333,8.744444444
1978,8.272,9.4025,7.675833333,8.895555556
1979,8.41625,9.554375,7.818333333,9.047222222
1980,8.56025,9.7125,7.960833333,9.2
1981,8.704,9.8575,8.106666667,9.35
1982,8.845,10.021875,8.249166667,9.498888889
1983,8.99625,10.163125,8.396666667,9.653333333
1984,9.13175,10.32375,8.539166667,9.806666667
1985,9.28175,10.458125,8.685,9.963333333
1986,9.41925,10.6275,8.820833333,10.10388889
1987,9.56,10.763125,8.980833333,10.25222222
1988,9.7,10.90875,9.114166667,10.4
1989,9.843,11.0625,9.265,10.55722222
1990,9.9755,11.2125,9.398333333,10.68777778
1991,10.107,11.34375,9.545,10.85
1992,10.252,11.49375,9.68,10.98888889
1993,10.38775,11.64375,9.808333333,11.12777778
1994,10.514,11.775,9.973333333,11.27777778
1995,10.6545,11.90625,10.09416667,11.41666667
1996,10.7845,12.05625,10.24833333,11.57222222
1997,10.911,12.175,10.38583333,11.7
1998,11.053,12.3,10.52416667,11.83888889
1999,11.197,12.43125,10.67166667,11.98333333
2000,11.31975,12.55625,10.8025,12.12222222
2001,11.4585,12.70625,10.96,12.26111111
2002,11.60425,12.81875,11.10833333,12.39444444
2003,11.732,12.95625,11.24833333,12.52777778
2004,11.8725,13.075,11.3825,12.67777778
2005,12.0105,13.2125,11.54833333,12.81111111
2006,12.138,13.34375,11.67666667,12.95555556
2007,12.285,13.475,11.8225,13.07777778
2008,12.4175,13.5875,11.95916667,13.22222222
2009,12.5575,13.71875,12.08833333,13.35555556
2010,12.6925,13.85,12.25,13.47222222
2011,12.8325,13.9625,12.39583333,13.62222222
2012,12.9675,14.1,12.525,13.73888889
2013,13.095,14.2125,12.66666667,13.87777778
2014,13.225,14.325,12.79166667,14
2015,13.37,14.45,12.94166667,14.11666667
