Year,Income,Education,Life Expectancy
1970,10626.66667,6.57,70.68333333
1971,11226.66667,6.705833333,70.96666667
1972,12035,6.839166667,71.26666667
1973,12860,6.975833333,71.51666667
1974,13111.66667,7.115,68.53333333
1975,12963.33333,7.253333333,72.08333333
1976,13900,7.3925,72.31666667
1977,14606.66667,7.533333333,72.76666667
1978,15275,7.675833333,73.16666667
1979,16033.33333,7.818333333,73.56666667
1980,16533.33333,7.960833333,73.75
1981,16716.66667,8.106666667,74.1
1982,17016.66667,8.249166667,74.35
1983,17233.33333,8.396666667,74.51666667
1984,17733.33333,8.539166667,74.66666667
1985,18316.66667,8.685,74.83333333
1986,18800,8.820833333,75.16666667
1987,19516.66667,8.980833333,75.38333333
1988,20750,9.114166667,75.61666667
1989,21800,9.265,75.83333333
1990,22550,9.398333333,76
1991,22950,9.545,76.15
1992,23383.33333,9.68,76.4
1993,23166.66667,9.808333333,76.63333333
1994,23683.33333,9.973333333,76.8
1995,24616.66667,10.09416667,77.03333333
1996,25050,10.24833333,77.26666667
1997,25766.66667,10.38583333,77.46666667
1998,26666.66667,10.52416667,77.65
1999,27500,10.67166667,77.81666667
2000,28666.66667,10.8025,78.08333333
2001,29266.66667,10.96,78.41666667
2002,29700,11.10833333,78.65
2003,30083.33333,11.24833333,78.88333333
2004,30666.66667,11.3825,79.16666667
2005,31116.66667,11.54833333,79.38333333
2006,31883.33333,11.67666667,79.76666667
2007,32633.33333,11.8225,79.96666667
2008,32683.33333,11.95916667,80.2
2009,31233.33333,12.08833333,80.45
2010,31133.33333,12.25,80.66666667
2011,30516.66667,12.39583333,80.86666667
2012,29550,12.525,81.06666667
2013,29033.33333,12.66666667,81.28333333
2014,29516.66667,12.79166667,81.38333333
2015,30300,12.94166667,81.46666667
