Year,Central and Eastern,Northern,Southern,Western
1900,35.88,47.125,39.26666667,46.23333333
1901,36,48.4875,39.91666667,47.31111111
1902,36.24,49.4625,40.2,47.87777778
1903,36.49,49.3125,40.55,47.98888889
1904,36.675,50.2875,41.13333333,47.55555556
1905,36.74,49.4625,41.4,48.34444444
1906,36.97,51,41.86666667,48.65555556
1907,37.2,50.575,42.21666667,49.55555556
1908,37.355,49.875,42.15,49.5
1909,37.435,51.85,42.46666667,50.26666667
1910,37.55,52.0625,42.95,51.22222222
1911,38.29,52.4625,42.61666667,49.82222222
1912,38.49,52.7625,44.11666667,52.05555556
1913,38.18,53.55,44.01666667,52.26666667
1914,37.52,52.35,44.46666667,49.08888889
1915,36.455,50.1375,43.4,47.93333333
1916,36.77,49.8375,43.18333333,48.26666667
1917,36.025,49.35,42.85,48.32222222
1918,25.215,43.125,28.88333333,40.13333333
1919,36.73,48.575,43.61666667,51.12222222
1920,35.85,51.775,44.01666667,54.3
1921,37.14,56.2125,45.23333333,55.77777778
1922,37.885,55.975,45.85,56.06666667
1923,39.72,56.95,46.38333333,57
1924,40.67,55.9,46.85,57.43333333
1925,41.05,57.1,47.1,57.33333333
1926,42.375,57.675,47.51666667,57.46666667
1927,42.575,56.3875,48.3,57.9
1928,43.435,57.85,48.23333333,58.23333333
1929,43.41,56.9125,49.21666667,57.2
1930,43.71,58.4875,49.93333333,59.08888889
1931,43.97,58.55,50.13333333,59.28888889
1932,43.065,59.425,50.73333333,59.48888889
1933,39.42,60.275,51.4,60.06666667
1934,45.51,60.3125,51.95,60.76666667
1935,47.27,60.025,52.26666667,60.72222222
1936,48.14,60.3875,52.3,61.2
1937,48.31,60.75,51.78333333,61.36666667
1938,49.24,61.9875,52.35,61.5
1939,49.65,61.55,52.91666667,61.61111111
1940,49.43,58.85,53.18333333,59.55555556
1941,40.11,49.65,49,60.47777778
1942,36.985,57.875,48.65,60.04444444
1943,33.945,57.975,51.26666667,58.12222222
1944,33.505,49.4875,53.81666667,53.36666667
1945,40.48,56.375,57.35,52.36666667
1946,51.405,62.025,58.01666667,62.73333333
1947,50.67,59.75,58.98333333,64.34444444
1948,56.185,64.7625,59.25,65.88888889
1949,57.76,65.4,60.68333333,66.17777778
1950,59.125,66.2125,63.71666667,67.2
1951,59.355,66.925,63.68333333,67.16666667
1952,60.05,67.6625,64.65,68.26666667
1953,60.82,68.3,65.25,68.47777778
1954,61.51,69.0375,65.98333333,68.87777778
1955,62.285,69.4375,66,69.01111111
1956,62.84,69.9125,66.01666667,69.26666667
1957,63.2,70.0875,66.25,69.46666667
1958,64.13,70.5875,67.35,70.05555556
1959,64.42,70.7125,67.43333333,70.2
1960,65.415,71.4,67.88333333,70.44444444
1961,65.925,71.5125,68.03333333,70.8
1962,65.945,71.2625,68.31666667,70.55555556
1963,66.485,71.425,68.61666667,70.6
1964,66.995,72.05,69.1,71.18888889
1965,67.135,71.9875,69.45,71.17777778
1966,67.435,72.0625,69.63333333,71.22222222
1967,67.535,72.2125,69.95,71.53333333
1968,67.765,72.1,70.15,71.43333333
1969,67.755,71.925,70.16666667,71.33333333
1970,67.97,72.1375,70.68333333,71.53333333
1971,68.26,72.375,70.96666667,71.67777778
1972,68.52,72.375,71.26666667,71.86666667
1973,68.81,72.575,71.51666667,72.11111111
1974,69.06,72.6125,68.53333333,72.32222222
1975,69.195,72.625,72.08333333,72.52222222
1976,69.38,72.7625,72.31666667,72.81111111
1977,69.495,72.9,72.76666667,73.13333333
1978,69.605,72.9625,73.16666667,73.28888889
1979,69.66,72.9875,73.56666667,73.52222222
1980,69.745,73.15,73.75,73.72222222
1981,69.91,73.2125,74.1,73.96666667
1982,70.045,73.4625,74.35,74.15555556
1983,70.12,73.5375,74.51666667,74.36666667
1984,70.15,73.6,74.66666667,74.64444444
1985,70.27,73.675,74.83333333,74.87777778
1986,70.695,74.225,75.16666667,75.14444444
1987,70.795,74.275,75.38333333,75.41111111
1988,70.095,74.35,75.61666667,75.62222222
1989,70.895,74.225,75.83333333,75.8
1990,70.875,74.1875,76,76.01111111
1991,70.635,74.1,76.15,76.21111111
1992,70.35,74.1125,76.4,76.44444444
1993,70.18,73.75,76.63333333,76.6
1994,70.165,73.5375,76.8,76.84444444
1995,70.135,73.8625,77.03333333,77.04444444
1996,70.695,74.7,77.26666667,77.26666667
1997,70.92,75.05,77.46666667,77.52222222
1998,71.255,75.125,77.65,77.71111111
1999,71.37,75.475,77.81666667,77.94444444
2000,71.665,75.7625,78.08333333,78.2
2001,71.895,75.775,78.41666667,78.45555556
2002,72.08,76.1,78.65,78.71111111
2003,72.225,76.35,78.88333333,78.93333333
2004,72.405,76.6,79.16666667,79.31111111
2005,72.54,76.725,79.38333333,79.62222222
2006,72.875,76.8125,79.76666667,79.92222222
2007,73.155,76.9875,79.96666667,80.16666667
2008,73.37,77.475,80.2,80.36666667
2009,73.725,77.9625,80.45,80.54444444
2010,74.015,78.2875,80.66666667,80.76666667
2011,74.455,78.5625,80.86666667,80.97777778
2012,74.725,78.7875,81.06666667,81.14444444
2013,75.065,79.05,81.28333333,81.3
2014,75.28,79.325,81.38333333,81.5
2015,75.42,79.4375,81.46666667,81.54444444
2016,75.575,79.525,81.5,81.61111111
2017,75.71,79.675,81.68333333,81.77777778
2018,75.855,79.8375,81.83333333,81.93333333
